Task ID;Area;Category;Progress;Priority;Assigned To;Created Date;Start date;Due date;Completed Date;Completed By;Req Type
2GzGUU1WF0mc7eoSOpf7_mUANByn;Human Resources;Human Resources Processes;Completed;Urgent;Director;5/17/2024;9/4/2024;9/20/2024;9/12/2024;Director;Process
cmamHMmgwk-3Rdylz80DSGUABbD1;Administrative & Financial ;Accounting Processes;Completed;Medium;Director;9/13/2024;9/11/2024;9/27/2024;9/25/2024;Director;Process
2GyC6JHcckOZkQHNgRen9GUAMxpC;Administrative & Financial ;Accounting Processes;Completed;Urgent;Director;5/16/2024;5/14/2024;5/22/2024;5/23/2024;Director;Process
3A3tcpp7LEupoLwYaFmH0GUADcIE;Customer Experience;CRM Issues;Completed;Important;Director;5/16/2024;5/16/2024;9/30/2024;9/30/2024;;Process
PAUf-RvBAUeg_lt46Y9WQWUAOrEM;Human Resources;Human Resources Processes;Not started;Medium;Director;5/17/2024;1/8/2024;3/30/2024;;;Process
Hey1Gwij9EOF16C9goTJ5mUAMEWY;Projects;Human Resources Processes;Completed;Medium;Director;9/19/2024;9/24/2024;9/30/2024;10/2/2024;Director;Process
oVN7-0Y3pkaCZznso0C4F2UAFBVW;Sales;Projects;In progress;Important;Director;8/15/2024;8/12/2024;9/13/2024;;;Process
0nxouPy_f0GIgwVhnUC6QGUADLQ7;IT;Projects;Completed;Medium;Member 4;8/28/2024;8/27/2024;9/13/2024;10/9/2024;Director;Development
rJnxhrZT9EWJPlslWj8jiWUAM49k;Administrative & Financial ;Accounting Processes;In progress;Important;Member 4;5/21/2024;6/19/2024;10/31/2024;;;Project
mfH3zUfO00aLEV3ZWhO8pmUALKRD;Projects;Accounting Processes;Not started;Important;Member 4;10/2/2024;10/1/2024;10/31/2024;;;Development
Hf3AEzUx5U2ILkp28vZK-GUAETFb;Accounting;Accounting Processes;Completed;Important;Member 4;7/11/2024;11/18/2024;11/30/2024;;;Development
nC9pKiKaZE2y5Q0KggvUemUAHLR2;Branding & Design;Marketing;Not started;Medium;Member 4;11/19/2024;;;;;Project
spru-TExbUq3tOp56A2zkWUAEpsO;VP of BO;Projects;In progress;Important;Director;7/24/2024;7/1/2024;9/30/2024;;;Project
pBSbfur6MkyScHowcx4JX2UAEVMi;VP of BO;Projects;In progress;Urgent;Director;5/17/2024;9/1/2023;11/30/2024;;;Project
6rVat75xdk23rY9T9156amUAGt41;VP of BO;Projects;Completed;Important;Director;6/18/2024;6/2/2024;9/30/2024;11/5/2024;Director;Process
UCUh3Bqzg0uXhWYvJ9ouFWUAFeJL;VP of BO;Projects;Completed;Urgent;Director;5/17/2024;3/1/2024;10/31/2024;11/5/2024;Director;Project
nC9pKiKaZE2y5Q0KggvUemUAHLR2fdf;Accounting;Marketing;Completed;Medium;Member 4;11/19/2024;6/19/2024;10/31/2024;11/15/2024;Director;Automation
